epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,171.59,0.51821,0.46953,0.85336,0.90486,0.6,0.56916,0.43372,0.54878,0.48729,0.88044,0.000660045,0.000660045,0.000660045
43,175.522,0.50515,0.46987,0.85848,0.85791,0.56667,0.56958,0.43352,0.61238,0.47081,0.89365,0.000649046,0.000649046,0.000649046
44,179.556,0.51826,0.47259,0.85133,0.84057,0.56667,0.55821,0.42979,0.55867,0.44854,0.89322,0.000638047,0.000638047,0.000638047
45,183.707,0.50385,0.45143,0.84807,0.9488,0.56312,0.59563,0.44994,0.59583,0.4737,0.8993,0.000627048,0.000627048,0.000627048
46,187.776,0.54086,0.46132,0.86204,0.99472,0.56259,0.59813,0.4444,0.59849,0.5017,0.89224,0.000616049,0.000616049,0.000616049
47,191.69,0.53622,0.45417,0.85687,0.89735,0.6,0.59266,0.45374,0.57358,0.46241,0.88174,0.000605051,0.000605051,0.000605051
48,195.403,0.51408,0.42649,0.84336,0.84145,0.6,0.56454,0.43513,0.61213,0.5037,0.88686,0.000594052,0.000594052,0.000594052
49,199.132,0.49897,0.44121,0.8332,0.52636,0.59878,0.56137,0.4115,0.62419,0.49938,0.89384,0.000583053,0.000583053,0.000583053
50,202.904,0.52487,0.44637,0.8523,0.64367,0.53333,0.5844,0.44235,0.55199,0.47718,0.88387,0.000572054,0.000572054,0.000572054
51,206.961,0.50462,0.43188,0.84707,0.98645,0.56667,0.60227,0.44232,0.53837,0.46689,0.88211,0.000561055,0.000561055,0.000561055
52,210.666,0.50023,0.44102,0.85067,0.98563,0.56667,0.59833,0.43109,0.58374,0.5326,0.88995,0.000550056,0.000550056,0.000550056
53,214.305,0.53321,0.43803,0.85463,0.97034,0.53333,0.56067,0.42099,0.54833,0.47932,0.88695,0.000539057,0.000539057,0.000539057
54,218.145,0.53101,0.44038,0.84467,0.88384,0.56667,0.5388,0.42092,0.60137,0.4569,0.89655,0.000528058,0.000528058,0.000528058
55,222.124,0.49167,0.42304,0.85315,0.94781,0.59891,0.60476,0.45207,0.56573,0.46094,0.88794,0.000517059,0.000517059,0.000517059
56,226.222,0.53271,0.43284,0.84732,0.98445,0.6,0.61116,0.45429,0.56502,0.44595,0.88455,0.00050606,0.00050606,0.00050606
57,230.402,0.51118,0.4308,0.8633,0.98588,0.59786,0.61288,0.45042,0.60794,0.44734,0.89285,0.000495062,0.000495062,0.000495062
58,234.697,0.52031,0.41283,0.85284,0.94917,0.59447,0.63358,0.45281,0.5793,0.45674,0.88564,0.000484063,0.000484063,0.000484063
59,238.31,0.49216,0.40846,0.83909,0.94653,0.62902,0.64556,0.43319,0.55728,0.45675,0.88852,0.000473064,0.000473064,0.000473064
60,242.057,0.50389,0.42528,0.84967,0.98719,0.6,0.60549,0.43762,0.57083,0.44012,0.88758,0.000462065,0.000462065,0.000462065
61,245.935,0.48642,0.40333,0.8496,0.98449,0.6,0.61894,0.46338,0.55404,0.41665,0.88168,0.000451066,0.000451066,0.000451066
62,249.84,0.48868,0.40985,0.84386,0.98427,0.6,0.63164,0.45108,0.59362,0.41944,0.88868,0.000440067,0.000440067,0.000440067
63,253.998,0.4945,0.41886,0.85652,0.98257,0.63226,0.63595,0.4523,0.55243,0.41323,0.88254,0.000429068,0.000429068,0.000429068
64,258.15,0.48649,0.42032,0.85587,0.98143,0.63333,0.63585,0.46261,0.55323,0.42471,0.88682,0.000418069,0.000418069,0.000418069
65,262.039,0.49282,0.41114,0.85129,0.98404,0.63333,0.63556,0.45785,0.56583,0.44051,0.88434,0.00040707,0.00040707,0.00040707
66,266.019,0.49225,0.40944,0.85053,0.95883,0.6,0.62679,0.43903,0.58461,0.44127,0.89124,0.000396071,0.000396071,0.000396071
67,270.143,0.48981,0.38736,0.85743,0.98283,0.63333,0.63575,0.44423,0.58467,0.42769,0.88933,0.000385073,0.000385073,0.000385073
68,274.141,0.48624,0.39959,0.84173,0.94977,0.63038,0.62284,0.448,0.53772,0.4057,0.88495,0.000374074,0.000374074,0.000374074
69,278.108,0.45426,0.37743,0.84149,0.61471,0.62758,0.63347,0.4589,0.55616,0.41898,0.88829,0.000363075,0.000363075,0.000363075
70,282.095,0.48999,0.38917,0.84224,0.58493,0.6285,0.6269,0.4752,0.52604,0.40449,0.87723,0.000352076,0.000352076,0.000352076
71,286.011,0.49154,0.40806,0.84201,0.58434,0.6284,0.61459,0.46954,0.54907,0.39103,0.87957,0.000341077,0.000341077,0.000341077
72,290.073,0.48968,0.39377,0.82945,0.58596,0.62961,0.62764,0.48362,0.50324,0.37429,0.86531,0.000330078,0.000330078,0.000330078
73,293.757,0.47337,0.38636,0.83903,0.61717,0.63163,0.6475,0.45795,0.52707,0.39893,0.86833,0.000319079,0.000319079,0.000319079
74,297.597,0.48426,0.39359,0.85344,0.61786,0.63333,0.63376,0.45782,0.50053,0.389,0.86849,0.00030808,0.00030808,0.00030808
75,301.46,0.48065,0.38936,0.85034,0.65144,0.6326,0.63794,0.47397,0.50942,0.37507,0.86821,0.000297081,0.000297081,0.000297081
76,305.114,0.48452,0.39599,0.84221,0.65003,0.63152,0.63855,0.45384,0.60004,0.39379,0.89026,0.000286083,0.000286083,0.000286083
77,308.889,0.47149,0.36953,0.85154,0.64992,0.63088,0.64515,0.45572,0.57059,0.40124,0.88759,0.000275084,0.000275084,0.000275084
78,312.598,0.45748,0.36737,0.84195,0.6494,0.63044,0.65381,0.45915,0.51278,0.3846,0.87991,0.000264085,0.000264085,0.000264085
79,316.238,0.48282,0.38843,0.8358,0.65474,0.6,0.65048,0.46304,0.53395,0.39801,0.88217,0.000253086,0.000253086,0.000253086
80,319.891,0.44299,0.38322,0.84404,0.64673,0.6619,0.66333,0.45168,0.55418,0.40724,0.88454,0.000242087,0.000242087,0.000242087
81,323.864,0.46558,0.36436,0.84578,0.65057,0.63195,0.63725,0.4457,0.55617,0.40239,0.88232,0.000231088,0.000231088,0.000231088
82,327.48,0.45264,0.37898,0.83567,0.65209,0.63333,0.6368,0.44925,0.57215,0.39833,0.88265,0.000220089,0.000220089,0.000220089
83,331.332,0.46717,0.37994,0.83551,0.65369,0.63333,0.6368,0.44966,0.59124,0.38988,0.88781,0.00020909,0.00020909,0.00020909
84,334.792,0.43068,0.35195,0.82272,0.65168,0.63333,0.63694,0.44529,0.57057,0.38041,0.88731,0.000198091,0.000198091,0.000198091
85,338.389,0.46022,0.37103,0.85111,0.65249,0.63157,0.63758,0.45176,0.54107,0.36324,0.88237,0.000187092,0.000187092,0.000187092
86,342.27,0.43971,0.35962,0.83849,0.98153,0.63051,0.63855,0.4561,0.54097,0.36929,0.87696,0.000176094,0.000176094,0.000176094
87,345.833,0.43785,0.35738,0.83301,0.98292,0.63194,0.65564,0.45873,0.56729,0.37926,0.8798,0.000165095,0.000165095,0.000165095
88,349.319,0.45323,0.36964,0.85743,0.98055,0.65473,0.66333,0.46379,0.56966,0.37924,0.87775,0.000154096,0.000154096,0.000154096
89,352.887,0.45349,0.38038,0.82566,0.98126,0.66008,0.66333,0.46044,0.54563,0.3652,0.87593,0.000143097,0.000143097,0.000143097
