epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,381.11,0.88985,1.74336,0.75266,0.95856,0.81736,0.56693,0.58184,0.39622,0.75393,0.55501,0.55498,0.31256,0.99012,2.47984,0.89376,0.95728,0.000593846,0.000593846,0.000593846
31,393.087,0.90271,1.68333,0.74858,0.95599,0.91662,0.52488,0.60214,0.3576,0.87431,0.55487,0.59085,0.32955,1.11934,2.39626,0.96606,0.98307,0.000585599,0.000585599,0.000585599
32,405.372,0.89303,1.65774,0.72368,0.96004,0.80152,0.55475,0.54318,0.37232,0.80967,0.57428,0.58298,0.35443,1.09221,2.38614,0.94473,0.9969,0.000577352,0.000577352,0.000577352
33,417.746,0.8759,1.63389,0.72642,0.95351,0.82744,0.53821,0.58196,0.37574,0.77619,0.56211,0.57061,0.31239,1.07271,2.53823,1.00706,0.98621,0.000569106,0.000569106,0.000569106
34,429.836,0.87694,1.63983,0.70331,0.94554,0.84555,0.49901,0.56791,0.35939,0.80393,0.5274,0.53847,0.30531,1.08567,2.47148,0.94631,0.98199,0.000560859,0.000560859,0.000560859
35,442.12,0.83718,1.63771,0.68522,0.93808,0.78745,0.54679,0.56057,0.35443,0.85874,0.55266,0.57912,0.2982,1.10782,2.64093,0.9741,1.01322,0.000552612,0.000552612,0.000552612
36,454.755,0.85024,1.60465,0.68324,0.95164,0.76583,0.51656,0.54733,0.34529,0.82141,0.56718,0.60979,0.3048,1.07046,2.6094,1.00232,1.00038,0.000544365,0.000544365,0.000544365
37,466.931,0.87514,1.68609,0.69975,0.95395,0.76015,0.59176,0.61311,0.38473,0.74616,0.59297,0.61051,0.29968,1.04996,2.42368,0.94345,0.97943,0.000536119,0.000536119,0.000536119
38,479.028,0.85157,1.63827,0.68642,0.94424,0.85435,0.59179,0.63099,0.38079,0.79315,0.62661,0.62416,0.33673,1.06091,2.44023,0.94528,0.97366,0.000527872,0.000527872,0.000527872
39,491.014,0.85004,1.57199,0.69354,0.95743,0.89176,0.53676,0.58137,0.37027,0.79649,0.59913,0.63435,0.31599,1.01832,2.49127,0.86663,0.95758,0.000519625,0.000519625,0.000519625
40,503.535,0.87875,1.68232,0.6949,0.95311,0.94367,0.54197,0.63427,0.38188,0.87072,0.57627,0.60561,0.32406,1.07709,2.49762,0.97541,0.96999,0.000511379,0.000511379,0.000511379
41,515.997,0.84737,1.63233,0.67229,0.93771,0.90086,0.54789,0.62566,0.3756,0.78762,0.5814,0.63739,0.35463,1.0601,2.45451,0.98065,0.98096,0.000503132,0.000503132,0.000503132
42,529.102,0.83504,1.56545,0.65411,0.93847,0.89085,0.58273,0.61196,0.35858,0.83187,0.55924,0.58966,0.27433,1.06113,2.6392,0.99094,0.98826,0.000494885,0.000494885,0.000494885
43,541.731,0.84895,1.61018,0.67586,0.95015,0.90593,0.53127,0.6119,0.36854,0.79322,0.5998,0.62388,0.34172,1.05229,2.8194,0.95375,0.96358,0.000486639,0.000486639,0.000486639
44,553.913,0.86655,1.58992,0.66849,0.93287,0.89141,0.54092,0.59218,0.36016,0.77316,0.60395,0.6066,0.35035,1.05624,2.5232,0.93166,0.97572,0.000478392,0.000478392,0.000478392
